id,nombre_unidad_apredizaje,semestre,fk_id_carrera,fk_id_academia
1,analisis_vectorial,1,1,1
2,calculo,1,1,1
3,matematicas_discretas,1,1,1
4,algoritmia_y_programacion_estructurada,1,1,3
5,fisica,1,1,2
6,ingenieria_etica_sociedad,1,1,4
7,ecuaciones_diferenciales,2,1,1
8,algebra_lineal,2,1,1
9,calculo_aplicado,2,1,1
10,estructuras_de_datos,2,1,3
11,comunicacion_oral_y_escrita,2,1,4
12,analisis_fundamental_de_circuitos,2,1,3
13,matematicas_avanzadas_para_la_ingenieria,3,1,1
14,fundamentos_economicos,3,1,3
15,fundamentos_de_diseño_digital,3,1,3
16,teoria_computacional,3,1,2
17,bases_de_datos,3,1,3
18,programacion_orientada_a_objetos,3,1,3
19,electronica_analogica,3,1,3
20,redes_de_computadoras,4,1,3
21,diseno_de_sistemas_computacionales,4,1,3
22,probabilidad_y_estadistica,4,1,1
23,sistemas_operativos,4,1,3
24,analisis_y_diseno_orientado_objetos,4,1,3
25,tecnologias_para_la_web,4,1,3
26,administracion_financiera,4,1,3
27,optativa_A,5,1,3
28,arquitectura_de_computadoras,5,1,3
29,analisis_de_algoritmos,5,1,2
30,optativa_B,5,1,3
31,ingenieria_de_software,5,1,3
32,administracion_de_proyectos,5,1,3
33,instrumentacion,5,1,3
34,teoria_de_comunicaciones_y_senales,6,1,3
35,aplicaciones_para_comunicaciones_en_red,6,1,3
36,metodos_cuantitativos_para_la_toma_de_decisiones,6,1,2
37,introduccion_a_los_microcontroladores,6,1,3
38,compiladores,6,1,3
39,optativa_C,6,1,3
40,optativa_D,6,1,3
41,desarrollo_de_sistemas_distribuidos,7,1,4
42,administracion_de_servicios_en_red,7,1,4
43,gestion_empresarial,7,1,4
44,liderazgo,7,1,4
45,trabajo_terminal_I,7,1,4
46,electiva,8,1,4
47,trabajo_terminal_II,9,1,4
